accuracy,dice_score,iou_score,loss,val_accuracy,val_dice_score,val_iou_score,val_loss,learning_rate,epoch_time,memory_usage,cpu_usage
0.8417201042175293,0.2440795600414276,0.17837373912334442,0.1929321140050888,0.6835317611694336,0.2878260314464569,0.13356120884418488,0.1915988326072693,0.0010000000474974513,407.1868197917938,2554.42578125,92.4
0.8488998413085938,0.33299607038497925,0.21515300869941711,0.18725167214870453,0.7717518210411072,0.3834833800792694,0.1968991905450821,0.18826822936534882,0.0010000000474974513,396.66097688674927,163.3671875,94.5
0.8551956415176392,0.3950518071651459,0.29726073145866394,0.18546202778816223,0.8511778116226196,0.38549789786338806,0.28883764147758484,0.18526269495487213,0.0010000000474974513,396.14995312690735,-160.87109375,95.1
0.8699228763580322,0.41913875937461853,0.3350345492362976,0.1837937831878662,0.8469449877738953,0.4089576303958893,0.3109985291957855,0.18485355377197266,0.0010000000474974513,319.4266848564148,-246.04296875,94.2
0.8850650787353516,0.42573049664497375,0.34777921438217163,0.18303516507148743,0.8066996932029724,0.4152434766292572,0.32492247223854065,0.1847192645072937,0.0010000000474974513,410.90711426734924,-157.484375,96.2
0.8885012865066528,0.4532141089439392,0.36551767587661743,0.18163920938968658,0.5989161729812622,0.3410814702510834,0.2375425100326538,0.19366741180419922,0.0010000000474974513,388.7708156108856,-47.88671875,94.3
0.8819608688354492,0.4548128843307495,0.3683222830295563,0.18145738542079926,0.8463741540908813,0.4399188756942749,0.33153918385505676,0.18405695259571075,0.0010000000474974513,381.2967412471771,1.77734375,93.8
0.8904849886894226,0.47215718030929565,0.37982377409935,0.180804044008255,0.8052049279212952,0.4444230794906616,0.32994598150253296,0.1840566098690033,0.0010000000474974513,487.6877830028534,1.6796875,94.3
0.8872817754745483,0.48410651087760925,0.3861778974533081,0.1801312416791916,0.6880766749382019,0.40116432309150696,0.3021130859851837,0.18788518011569977,0.0010000000474974513,387.7743670940399,74.66015625,94.2
0.8818241953849792,0.4837382435798645,0.38521313667297363,0.1805228739976883,0.8087980151176453,0.4750388562679291,0.37301531434059143,0.18215082585811615,0.0010000000474974513,384.2617185115814,-110.56640625,94.0
0.886963963508606,0.5159570574760437,0.411277711391449,0.1793462634086609,0.5883808732032776,0.34615030884742737,0.23712171614170074,0.19618546962738037,0.0010000000474974513,358.62558674812317,-93.2109375,93.7
0.850748598575592,0.3907909691333771,0.31168708205223083,0.18804563581943512,0.8198974132537842,0.43514224886894226,0.33552122116088867,0.1852581948041916,0.0010000000474974513,348.59439873695374,74.38671875,94.1
0.8867945075035095,0.48914453387260437,0.3898344039916992,0.1810031235218048,0.8451244235038757,0.5075087547302246,0.4126460552215576,0.18087083101272583,0.0010000000474974513,362.55471539497375,6.62109375,93.6
0.8884289860725403,0.5052204728126526,0.4058263301849365,0.1802406907081604,0.8596788644790649,0.4781912565231323,0.3902502954006195,0.18111184239387512,0.0010000000474974513,340.4844353199005,68.14453125,93.2
0.9004175662994385,0.5137501358985901,0.4171866178512573,0.17937153577804565,0.8443454504013062,0.4940851926803589,0.39854028820991516,0.18138042092323303,0.0010000000474974513,338.3025915622711,-90.453125,93.7
0.9002622365951538,0.5155386328697205,0.41928061842918396,0.17917607724666595,0.779888927936554,0.47396019101142883,0.37695619463920593,0.1842174530029297,0.0010000000474974513,357.56069469451904,-41.73046875,93.3
0.9012547731399536,0.5332148671150208,0.4325144588947296,0.17835374176502228,0.8845815658569336,0.4800882041454315,0.39715543389320374,0.1805347055196762,0.0010000000474974513,358.32428073883057,51.234375,92.9
